file,category,poc_name,cve_id,protocol,grade,attack_input,execution_path,observable_result,safety_gate,is_recon,missing
pocs/advanced/17_CVE_2025_8090_Active_Validation.py,advanced,CVE-2025-8090 空指针引用/DoS Active Validation,CVE-2025-8090,local,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/18_QNX_PCX_Codec_OOB_Write_RCE_DoS_Audit.py,advanced,CVE-2025-2474 越界写/RCE或DoS Active Validation,CVE-2025-2474,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/19_QNX_SGI_Codec_Input_Validation_RCE_DoS_Audit.py,advanced,CVE-2024-35213 输入校验/RCE或DoS Active Validation,CVE-2024-35213,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/20_CVE_2024_35215_Active_Validation.py,advanced,CVE-2024-35215 空指针/DoS Active Validation,CVE-2024-35215,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/21_QNX_TIFF_Codec_OOB_Read_Info_Leak_Audit.py,advanced,CVE-2024-48855 越界读/信息泄露 Active Validation,CVE-2024-48855,local,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/22_QNX_PCX_Codec_OOB_Write_RCE_DoS_Audit.py,advanced,CVE-2024-48856 越界写/RCE或DoS Active Validation,CVE-2024-48856,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/23_QNX_PCX_Codec_Null_Deref_DoS_Audit.py,advanced,CVE-2024-48857 空指针/DoS Active Validation,CVE-2024-48857,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/24_QNX_PCX_Codec_Input_Validation_DoS_Audit.py,advanced,CVE-2024-48858 输入校验/DoS Active Validation,CVE-2024-48858,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/25_CVE_2021_22156_Active_Validation.py,advanced,CVE-2021-22156 整数溢出/RCE或DoS Active Validation,CVE-2021-22156,local,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/advanced/26_CVE_2021_32025_Active_Validation.py,advanced,CVE-2021-32025 权限提升 Active Validation,CVE-2021-32025,local,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/28_CVE_2017_3893_Active_Validation.py,advanced,CVE-2017-3893 内存保护绕过 Active Validation,CVE-2017-3893,local,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/advanced/29_CVE_2024_3094_Active_Validation.py,advanced,CVE-2024-3094 供应链后门 Active Validation,CVE-2024-3094,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/30_CVE_2024_2961_Active_Validation.py,advanced,CVE-2024-2961 缓冲区溢出 Active Validation,CVE-2024-2961,local,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/36_CVE_2025_32060_Active_Validation.py,advanced,CVE-2025-32060 签名校验缺失 Active Validation,CVE-2025-32060,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/37_CVE_2026_31431_Active_Validation.py,advanced,Linux Kernel Copy Fail LPE Audit,CVE-2026-31431,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/01_CVE_2025_24252_AirPlay_AirBorne_UAF_Active_Validation.py,application,AirPlay AirBorne UAF,CVE-2025-24252,unknown,EXP_READY,True,True,True,True,False,
pocs/application/02_CVE_2024_8355_USB_SQLi_Active_Validation.py,application,IVI USB SQLi,CVE-2024-8355,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/03_CVE_2024_23923_CarPlay_Stack_Overflow_Active_Validation.py,application,CarPlay Stack Overflow,"CVE-2024-23923,CVE-2025-8474",unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/04_CVE_2021_23906_HiQnet_Stack_Overflow_TCP_Active_Validation.py,application,HiQnet Stack Overflow TCP,CVE-2021-23906,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/05_CVE_2021_23906_HiQnet_Heap_Overflow_UDP_Active_Validation.py,application,HiQnet Heap Overflow UDP,CVE-2021-23906,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/06_CWE_200_WebView_File_Exfil_Active_Validation.py,application,WebView File Exfil,CWE-200,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/application/07_CWE_78_Command_Injection_Active_Validation.py,application,Filename Command Injection,CWE-78,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/08_CWE_22_USB_Path_Injection_Active_Validation.py,application,USB Path Injection,CWE-22,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/09_CVE_2025_32063_IVI_DevMode_Bypass_Active_Validation.py,application,IVI DevMode Bypass,CVE-2025-32063,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/application/10_CVE_2025_2765_Authentication_Bypass_Active_Validation.py,application,Wireless Dongle Auth Bypass,CVE-2025-2765,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/application/11_CVE_2023_28898_RTSP_CarPlay_DoS_Active_Validation.py,application,RTSP CarPlay DoS,CVE-2023-28898,tcp,EXP_READY,True,True,True,True,False,
pocs/application/12_CWE_306_Inject_Active_Validation.py,application,UPnP AVTransport Media Inject,CWE-306,unknown,EXP_READY,True,True,True,True,False,
pocs/application/13_CWE_306_Mirror_Hijack_Active_Validation.py,application,Mirror Hijack,CWE-306,unknown,EXP_READY,True,True,True,True,False,
pocs/application/14_CWE_306_Injection_Active_Validation.py,application,LGE Cinemo Media Injection,CWE-306,unknown,EXP_READY,True,True,True,True,False,
pocs/application/15_CWE_319_Android_Cleartext_HTTP_Active_Validation.py,application,检测设备app是否允许不安全的明文通信...,CWE-319,android,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/application/16_CWE_489_Android_Debuggable_App_Active_Validation.py,application,检测设备app是否允许不安全的动态调试...,CWE-489,android,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/application/17_CWE_530_Android_AllowBackup_Active_Validation.py,application,检测设备app是否允许不安全的应用数据备份和还原...,CWE-530,android,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/application/18_CWE_284_Android_Install_Ask_Active_Validation.py,application,检测设备是否允许未经警告的第三方app安装...,CWE-284,android,EXP_READY,True,True,True,True,False,
pocs/application/19_CWE_1021_Android_StrandHogg_Task_Hijack_Active_Validation.py,application,检测设备app是否存在StrandHogg/Task Hijacking风险（CWE-1021）...,CWE-1021,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/20_CWE_926_Android_Exported_Activity_Active_Validation.py,application,检测设备app是否存在不安全的Activity（及 activity-alias）导出（存在暴露风险）...,CWE-926,android,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/21_CWE_926_Android_Exported_Service_Active_Validation.py,application,检测设备app是否存在不安全的Service导出（存在暴露风险）...,CWE-926,android,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/22_CWE_926_Android_Exported_Provider_Active_Validation.py,application,检测设备app是否存在不安全的ContentProvider导出（存在暴露风险）...,CWE-926,android,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/23_CWE_926_Android_Exported_Broadcast_Active_Validation.py,application,检测设备app是否存在不安全的BroadcastReceiver导出（存在暴露风险）...,CWE-926,android,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/24_CWE_939_Android_Scheme_URL_Export_Active_Validation.py,application,检测设备app是否存在不安全的URL Scheme导出（存在暴露风险）...,CWE-939,android,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
